86,TEXTS24090-05,1 UNIT TOYOTA HILUX PICKUP -P8E 069,2024-03-12,27707.97,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
87,TEXTS24090-04,1 UNIT TOYOTA HILUX PICKUP - Z5V011,2024-03-12,32125.1,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
88,NKSTS24094-03,1 TOYOTA AVANZA - NDX 8228,2024-03-12,45928.28,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
89,BLETS24094-03,1 TOYOTA GRANDIA - NCJ 6369,2024-03-12,61560.31,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
90,PFBTS24099-08,1 SERVICE DRIVER - LATUMBO,2024-03-12,26073.91,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
91,PFBTS24099-06,1 SERVICE DRIVER - DAVID,2024-03-12,26073.91,2024-01-01,2024-01-01,,2024-05-15,2024-05-15
92,PRQGS24104-011,JANITORIAL SERVICES/PARANAQUE SECTOR/FEBRUARY 1-29  2024,2024-03-15,388112.92,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
93,DASGS24105-011,JANITORIAL SERVICES/DASMARINAS SECTOR/FEBRUARY 1-29  2024,2024-03-15,480268.06,2024-03-22,2024-01-01,,2024-05-15,2024-05-15
94,PROGS24106-020,Procurement Office- Category Management for ICT/Administrative Support Services/February 1-29 2024,2024-03-25,19807.69,2024-03-28,2024-01-01,,2024-05-15,2024-05-15
95,PRNGS24106-019,Procurement Office- Category Management for Non-Core/Administrative Support Services/February 16-29 2024,2024-03-25,8602.71,2024-03-28,2024-01-01,,2024-05-15,2024-05-15
96,MOCGS24107-010,Platforms Delivery/ICCT- Administrative Support Services/February 1-29 2024,2024-03-25,20899.38,2024-03-28,2024-01-01,,2024-05-15,2024-05-15
97,NORGS24110-112,Balagtas Business Center/Janitorial Services/February 1-29 2024,2024-03-04,157035.96,2024-03-04,2024-01-01,,2024-05-15,2024-05-15
98,NORGS24110-114,Malolos Business Center/Janitorial Services/February 1-29 2024,2024-03-04,183208.62,2024-03-04,2024-01-01,,2024-05-15,2024-05-15
